Date,Map,Result,VOD_Link,Score_Us,Score_Enemy,MatchID,MyComp_1,MyComp_2,MyComp_3,MyComp_4,MyComp_5,Pistol_Def_W,Pistol_Atk_W,Def_R_W,Def_R_L,Atk_R_W,Atk_R_L,Source,EnComp_1,EnComp_2,EnComp_3,EnComp_4,EnComp_5,Delta,DateObj
11.05.2025,Haven,L,https://www.youtube.com/watch?v=6WuNqKloArM,7.0,13.0,,Cypher,Omen,Iso,Sova,Yoru,1.0,0.0,3.0,5.0,4.0,8.0,Legacy,,,,,,-6.0,2025-05-11
14.05.2025,Lotus,W,-,13.0,4.0,,Omen,Viper,Fade,Vyse,Raze,0.0,1.0,4.0,1.0,9.0,3.0,Legacy,,,,,,9.0,2025-05-14
15.05.2025,Lotus,W,https://youtu.be/K8-3sIwtbKo,13.0,6.0,,Omen,Viper,Fade,Vyse,Raze,1.0,0.0,7.0,0.0,6.0,6.0,Legacy,,,,,,7.0,2025-05-15
15.05.2025,Lotus,L,https://www.youtube.com/watch?v=G-iFoqzcEOk,7.0,13.0,,Omen,Viper,Fade,Vyse,Raze,1.0,1.0,3.0,9.0,4.0,4.0,Legacy,,,,,,-6.0,2025-05-15
21.05.2025,Sunset,L,https://www.youtube.com/watch?v=odbDHzNs8y0,6.0,13.0,,Omen,Breach,Fade,Neon,Cypher,1.0,0.0,4.0,8.0,2.0,5.0,Legacy,,,,,,-7.0,2025-05-21
22.05.2025,Sunset,L,https://www.youtube.com/watch?v=oM0M7L2Ul8E,6.0,13.0,,Omen,Breach,Fade,Neon,Cypher,0.0,1.0,3.0,9.0,3.0,4.0,Legacy,,,,,,-7.0,2025-05-22
22.05.2025,Sunset,W,https://youtu.be/LjtkjtCcOUk,13.0,11.0,,Omen,Breach,Fade,Neon,Cypher,0.0,1.0,7.0,5.0,6.0,6.0,Legacy,,,,,,2.0,2025-05-22
28.05.2025,Pearl,L,https://www.youtube.com/watch?v=ugGgvdFMues,3.0,13.0,,Astra,Fade,Phoenix,Jett,Cypher,0.0,1.0,1.0,11.0,2.0,2.0,Legacy,,,,,,-10.0,2025-05-28
31.05.2025,Pearl,L,https://youtu.be/RPSBn1iw5ks,8.0,13.0,,Chamber,Sova,Phoenix,Jett,Killjoy,0.0,0.0,6.0,6.0,2.0,7.0,Legacy,,,,,,-5.0,2025-05-31
31.05.2025,Pearl,W,https://youtu.be/Ct3_HyFqhXk,13.0,9.0,,Astra,Sova,Phoenix,Jett,Killjoy,1.0,1.0,5.0,7.0,8.0,2.0,Legacy,,,,,,4.0,2025-05-31
